2019-05-30 02:44:15,"A5: @MicrosoftEDU powerpoint still in the lead. Many Ts have this mindset that if they use a projector and show slides or a movie, it counts as great #edtech use. Move ON people! #cvtechtalk https://t.co/hawjMp9WhO"
2019-05-30 02:44:14,RT @Alex_Corbitt: A Guide to Effective Questions 🤔💡🏆👥 (by @RhondaBondie1) #edchat #education #edtech #elearning #k12 https://t.co/2Xd0Bq9C0b
2019-05-30 02:43:31,RT @Alex_Corbitt: A Guide to Effective Questions 🤔💡🏆👥 (by @RhondaBondie1) #edchat #education #edtech #elearning #k12 https://t.co/2Xd0Bq9C0b
2019-05-30 02:43:15,"#MachineLearning course is on us. Get it for #Free in #hindi &amp; #Tamil languages. 

#Download &amp; #Register on the #BrainGroom #App https://t.co/cP8ih9v5oV

#edtech #globaled #education #ML #artificialintelligence #python #MongoDB #SQL #JavaScript #eduapp #lovelearning #mlearning https://t.co/hxkkfZdTDZ"
2019-05-30 02:42:44,RT @ice_il: Can Ss use @makeymakey to think outside the box &amp; use the 4 C's? Join us for a #SummerPD K-12 Invention Literacy Workshop &amp; lea…
2019-05-30 02:42:09,RT @lackeymartha: My students are keeping in touch with me this summer. I have created a summer2019 @Flipgrid so that we can stay connected…
2019-05-30 02:42:07,RT @MrBourassaED: I did something super cool with a class I was working with! Interactive body systems with @scratch and @makeymakey. Inspi…
2019-05-30 02:41:53,RT @UoB_DIBC: During the #BootCamp we will hear from our own Dr Jonathan Watkins about #blockchain in #Engineering! #EdTech #DigitalBootCam…
2019-05-30 02:40:12,RT @flggb: A quick tutorial on #3dgraphing in @geogebra by @TeqOPD. https://t.co/yNrqhv916w #3dgraphing #mathtech #edtech #iteachmath #math…
2019-05-30 02:39:01,RT @mtholfsen: NEW! Make sure your read-only reference materials stay exactly how you want them 🔒 with this new feature for @MicrosoftTeams…
2019-05-30 02:38:58,"RT @ShakeUpLearning: How to Get Credit for Listening to Podcasts! (Because you deserve credit for professional development.) 

https://t.co…"
2019-05-30 02:38:52,RT @HigherEdSurge: What is the philosophy behind joining a library of video courses with a professional-networking site? (2017) https://t.c…
2019-05-30 02:38:46,"RT @mattzieger: Do you know an entrepreneur thinking about the #futureofwork, #edtech, or the #gigeconomy?  The application deadline is app…"
2019-05-30 02:38:34,"RT @edvanta_: “Innovation is change that unlocks new value.”
@jamienotter #edtech #Innovation"
2019-05-30 02:37:04,"RT @mattzieger: Do you know an entrepreneur thinking about the #futureofwork, #edtech, or the #gigeconomy?  The application deadline is app…"
2019-05-30 02:35:32,RT @HigherEdSurge: What is the philosophy behind joining a library of video courses with a professional-networking site? (2017) https://t.c…
2019-05-30 02:34:39,RT @mtholfsen: NEW! Make sure your read-only reference materials stay exactly how you want them 🔒 with this new feature for @MicrosoftTeams…
2019-05-30 02:33:13,"https://t.co/QI9bnAkGSc: The growing cost of youth team sports means that they can be off-limits to those who may need them most, kids living in poverty NPRHealth https://t.co/q61BoJwl7S #edchat #mentalhealth #sports #depression #trauma See the site for more #edchat #edtech #ed…"
2019-05-30 02:32:25,RT @SalleeClark: @BrianRSmithSr @techamys @lynchteach @knikole @mandymtaylor @kristi_daws @SturmDon @meredithakers @ClaudioZavalaJr @m_drez…
2019-05-30 02:32:25,RT @CodeMashinani: We are in need of legal counsel and are looking for legal representation for a #EdTech startup. If you are a lawyer inte…
2019-05-30 02:32:25,"RT @ExploreLearning: On May 29, 1951, a patent for improved sulfonamide drugs was issued, the first chemical substances systematically used…"
2019-05-30 02:32:19,You know I ❤️ when my favorites work together! #InnovatingPlay &amp; @GoNoodle I can’t wait til next year @CFISDWells  to get more @PintoBeanz11 &amp; @jlabar2me ideas in my classroom! 👏🏻👏🏻🌏🎉 #inspired #edtech @CFISDWells https://t.co/l7G53ILMBH
2019-05-30 02:32:03,RT @historyhunter22: I love seeing #personalizedlearning used to help kids learn and grow. #edchat #edtech #learning https://t.co/9CLXOTraZN
2019-05-30 02:31:07,RT @ShakeUpLearning: Game Changer – Image Comments in Google Classroom https://t.co/RxsUNOw6ed #edchat #edtech
2019-05-30 02:30:45,RT @southjoseph: Nice article on comp thinking across disciplines! @ISTE has comp thinking competencies that can help: https://t.co/wB5tYem…
2019-05-30 02:30:08,"On May 29, 1951, a patent for improved sulfonamide drugs was issued, the first chemical substances systematically used to cure and prevent bacterial infections in humans. Learn more on how cells are infected and eventually destroyed w/ #ELGizmos! #edtech  https://t.co/SKSCs7JSsV https://t.co/JzyPxdAcCE"
2019-05-30 02:30:03,"RT @IEthics: ICYMI: ""#Students and Sensors: #Data, #education, #privacy, and #research""--an #ethics case study: https://t.co/FY6HHaIkK2 #te…"
2019-05-30 02:27:54,"We are in need of legal counsel and are looking for legal representation for a #EdTech startup. If you are a lawyer interested and experienced working with startups, intellectual property and trademarks please reach out.

#IkoKaziKE"
2019-05-30 02:27:48,RT @cdsmeaton: Which Digital Citizenship Skills Do Students Need Most? https://t.co/D8Uu9Gkstp via @CommonSenseEd #hs4 #abed #edtech
2019-05-30 02:27:46,@BrianRSmithSr @techamys @lynchteach @knikole @mandymtaylor @kristi_daws @SturmDon @meredithakers @ClaudioZavalaJr @m_drez @jlo731 @Jenallee1 @TxTechChick @techclara @kerszi @Savvy_Educator @Citizensowls @ToutouleNtoya @MsFarinas Aww thanks for the shoutout @BrianRSmithSr 😊 We value your friendship and appreciate all of your #edtech wisdom! #PLN https://t.co/gScsyXxXyv
